127.0.0.1 - - [08/Sep/2011:11:33:25 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
127.0.0.1 - - [08/Sep/2011:11:34:17 +0200] "GET /Quizz2-0.1-SNAPSHOT/ HTTP/1.1" 302 -
127.0.0.1 - - [08/Sep/2011:11:34:17 +0200] "GET /Quizz2-0.1-SNAPSHOT/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [08/Sep/2011:11:34:27 +0200] "GET /Quizz2-0.1-SNAPSHOT/login HTTP/1.1" 200 5847
127.0.0.1 - - [08/Sep/2011:11:34:30 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/prototype.js HTTP/1.1" 200 139854
127.0.0.1 - - [08/Sep/2011:11:34:35 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/scriptaculous.js HTTP/1.1" 200 2644
127.0.0.1 - - [08/Sep/2011:11:34:35 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/builder.js HTTP/1.1" 200 4744
127.0.0.1 - - [08/Sep/2011:11:34:35 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/effects.js HTTP/1.1" 200 38745
127.0.0.1 - - [08/Sep/2011:11:34:35 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/dragdrop.js HTTP/1.1" 200 31174
127.0.0.1 - - [08/Sep/2011:11:34:35 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/controls.js HTTP/1.1" 200 34787
127.0.0.1 - - [08/Sep/2011:11:34:35 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/slider.js HTTP/1.1" 200 10194
127.0.0.1 - - [08/Sep/2011:11:34:35 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/sound.js HTTP/1.1" 200 1906
127.0.0.1 - - [08/Sep/2011:11:34:35 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/global.js HTTP/1.1" 200 12275
127.0.0.1 - - [08/Sep/2011:11:34:36 +0200] "POST /Quizz2-0.1-SNAPSHOT/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [08/Sep/2011:11:34:36 +0200] "GET /Quizz2-0.1-SNAPSHOT/app/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [08/Sep/2011:11:34:38 +0200] "GET /Quizz2-0.1-SNAPSHOT/mainMenu HTTP/1.1" 200 5392
127.0.0.1 - - [08/Sep/2011:11:34:40 +0200] "GET /Quizz2-0.1-SNAPSHOT/ HTTP/1.1" 302 -
127.0.0.1 - - [08/Sep/2011:11:34:40 +0200] "GET /Quizz2-0.1-SNAPSHOT/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [08/Sep/2011:11:34:40 +0200] "GET /Quizz2-0.1-SNAPSHOT/login HTTP/1.1" 200 5847
127.0.0.1 - - [08/Sep/2011:11:34:40 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/prototype.js HTTP/1.1" 200 139854
127.0.0.1 - - [08/Sep/2011:11:34:40 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/scriptaculous.js HTTP/1.1" 200 2644
127.0.0.1 - - [08/Sep/2011:11:34:40 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/builder.js HTTP/1.1" 200 4744
127.0.0.1 - - [08/Sep/2011:11:34:40 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/effects.js HTTP/1.1" 200 38745
127.0.0.1 - - [08/Sep/2011:11:34:40 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/dragdrop.js HTTP/1.1" 200 31174
127.0.0.1 - - [08/Sep/2011:11:34:40 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/controls.js HTTP/1.1" 200 34787
127.0.0.1 - - [08/Sep/2011:11:34:40 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/slider.js HTTP/1.1" 200 10194
127.0.0.1 - - [08/Sep/2011:11:34:40 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/sound.js HTTP/1.1" 200 1906
127.0.0.1 - - [08/Sep/2011:11:34:40 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/global.js HTTP/1.1" 200 12275
127.0.0.1 - - [08/Sep/2011:11:34:40 +0200] "POST /Quizz2-0.1-SNAPSHOT/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [08/Sep/2011:11:34:40 +0200] "GET /Quizz2-0.1-SNAPSHOT/app/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [08/Sep/2011:11:34:40 +0200] "GET /Quizz2-0.1-SNAPSHOT/mainMenu HTTP/1.1" 200 5392
